call_letters,network,location
KAAL,6.1ABC,"Austin, Minnesota"
,33.2This TV,
KAAS-TV,Fox,"Salina, Kansas"
KABB,Fox,"San Antonio, Texas"
KABC-TV,7.1ABC,"Los Angeles, California"
,7.2ABC7+(LWN),
KABY-TV,ABC,"Aberdeen, South Dakota"
KACV-TV,PBS,"Amarillo, Texas"
KADN-TV,15.1Fox,"Lafayette, Louisiana"
,46.2KLAF-LD,
KAEF-TV,ABC,"Arcata, California"
KAET,PBS,"Phoenix, Arizona"
KAFT,PBS,"Fayetteville, Arkansas"
KAID,PBS,"Boise, Idaho"
KAII-TV,Fox,"Wailuku, Hawaii"
KAIL,7.1MyNetworkTV,"Fresno, California"
,7.2Cozi TV,
KAIT,ABC,"Jonesboro, Arkansas"
KAJB,Telefutura,"Calipatria, California"
KAKE,10.1ABC,"Wichita, Kansas"
,10.2MeTV,
KAKM,PBS,"Anchorage, Alaska"
KAKW-DT,Univision,"Killeen, Texas"
KALB-TV,5.1NBC,"Alexandria, Louisiana"
,35.2CBS,
KALO,religious,"Honolulu, Hawaii"
KAMC,ABC,"Lubbock, Texas"
KAME-TV,MyNetworkTV,"Reno, Nevada"
KAMR-TV,4.1NBC,"Amarillo, Texas"
,33.2KCPN-LP,
KAMU-TV,PBS,"College Station, Texas"
KAPP,35.1ABC,"Yakima, Washington"
,14.2MeTV,
KARD,14.1Fox,"West Monroe, Louisiana"
,36.2Bounce TV,
KARE,NBC,"Minneapolis, Minnesota"
KARK-TV,NBC,"Little Rock, Arkansas"
KARZ-TV,MyNetworkTV,"Little Rock, Arkansas"
KASA-TV,Fox,"Santa Fe, New Mexico"
KASN,The CW,"Pine Bluff, Arkansas"
KASW,The CW,"Phoenix, Arizona"
KASY-TV,MyNetworkTV,"Albuquerque, New Mexico"
KATC,3.1ABC,"Lafayette, Louisiana"
,3.2The CW,
KATN,ABC,"Fairbanks, Alaska"
KATU,2.1ABC,"Portland, Oregon"
,2.2MeTV,
,2.3Comet TV,
KATV,ABC,"Little Rock, Arkansas"
KAUT-TV,Independent,"Oklahoma City, Oklahoma"
KAUZ-TV,6.1CBS,"Wichita Falls, Texas"
,6.2The CW,
KAVU-TV,25.1ABC,"Victoria, Texas"
,17.2KMOL-LD,
,41.3KXTS-LP,
KAWB,PBS,"Brainerd, Minnesota"
KAWE,PBS,"Bemidji, Minnesota"
KAYU-TV,28.1Fox,"Spokane, Washington"
,28.2This TV,
KAZA-TV,Azteca America,"Avalon, California"
KAZD,Azteca America,"Lake Dallas, Texas"
KAZQ,Religious Independent,"Albuquerque, New Mexico"
KAZT-TV,7.1Independent,"Prescott, Arizona"
,7.2MeTV,
,7.3HSN,
KBAK-TV,29.1CBS,"Bakersfield, California"
,58.2KBFX-CD,
KBCA,The CW,"Alexandria, Louisiana"
KBCB,SonLife,"Bellingham, Washington"
KBCW,The CW,"San Francisco, California"
KBDI-TV,PBS,"Broomfield, Colorado"
KBEH,Televisa,"Oxnard, California"
KBFD-DT,Independent (Asian),"Honolulu, Hawaii"
KBGS-TV,16.1 PBS,"Billings, Montana"
,16.2 PBS Kids,
,16.3 Create,
,16.4 Work,
,16.5 TVMT,
KBHE-TV,PBS,"Rapid City, South Dakota"
KBIM-TV,CBS,"Roswell, New Mexico"
KBIN-TV,PBS,"Council Bluffs, Iowa"
KBJR-TV,6.1NBC,"Superior, Wisconsin"
,19.2MyNetworkTV,
KBLN-TV,3ABN,"Grants Pass, Oregon"
KBLR,Telemundo,"Paradise, Nevada"
KBME-TV,PBS,"Bismarck, North Dakota"
KBMT,12.1ABC,"Beaumont, Texas"
,12.4MeTV,
,43.5KUIL-LD.,
KBMY,ABC,"Bismarck, North Dakota"
KBOI-TV,2.1CBS,"Boise, Idaho"
,2.2KYUU-LD,
KBRR,Fox,"Thief River Falls, Minnesota"
KBSD-DT,CBS,"Ensign, Kansas"
KBSH-DT,CBS,"Hays, Kansas"
KBSI,Fox,"Cape Girardeau, Missouri"
KBSL-DT,CBS,"Goodland, Kansas"
KBSV,Assyrian Independent,"Ceres, California"
KBTC-TV,PBS,"Tacoma, Washington"
KBTV-TV,4.1Fox,"Port Arthur, Texas"
,40.2Bounce TV,
KBTX-TV,3.1CBS,"Bryan, Texas"
,3.2The CW,
KBVO,MyNetworkTV,"Llano, Texas"
KBVU,Fox,"Eureka, California"
KBYU-TV,PBS,"Provo, Utah"
KBZK,CBS,"Bozeman, Montana"
KCAL-TV,independent,"Los Angeles, California"
KCAU-TV,ABC,"Sioux City, Iowa"
KCBA,Fox,"Salinas, California"
KCBD,11.1NBC,"Lubbock, Texas"
,11.2This TV,
KCBS-TV,CBS,"Los Angeles, California"
KCBY-TV,CBS,"Coos Bay, Oregon"
KCCI,8.1CBS,"Des Moines, Iowa"
,8.2MeTV,
KCCW-TV,CBS,"Walker, Minnesota"
KCDO-TV,Independent,"Sterling, Colorado"
KCDT,PBS,"Coeur d'Alene, Idaho"
KCEB,MeTV,"Longview, Texas"
KCEC,Univision,"Denver, Colorado"
KCEN-TV,6.1NBC,"Temple, Texas"
,9.3MeTV,
KCET,Educational Independent (then a PBS member station),"Los Angeles, California"
KCFW-TV,9.1NBC,"Kalispell, Montana"
,9.2MeTV,
KCGE-DT,PBS,"Crookston, Minnesota"
KCHF,Religious,"Santa Fe, New Mexico"
KCIT,14.1Fox,"Amarillo, Texas"
,15.2This TV,
KCKA,PBS,"Centralia, Washington"
KCLO-TV,CBS,"Rapid City, South Dakota"
KCNC-TV,4.1 CBS,"Denver, Colorado"
,4.2 Decades,
KCNS,MundoFox,"San Francisco, California"
KCOP-TV,13.1MyNetworkTV,"Los Angeles, California"
,13.2Bounce TV,
KCOS,PBS,"El Paso, Texas"
KCOY-TV,12.1CBS,"Santa Maria, California"
,24.2KKFX-CD,
KCPM,MyNetworkTV,"Grand Forks, North Dakota"
KCPQ,Fox,"Tacoma, Washington"
KCPT,PBS,"Kansas City, Missouri"
KCRA-TV,3.1NBC,"Sacramento, California"
,35.2MeTV,
KCRG-TV,9.1ABC,"Cedar Rapids, Iowa"
,9.2Independent/MyNetworkTV,
KCSD-TV,PBS,"Sioux Falls, South Dakota"
KCSG,MeTV,"Cedar City, Utah"
KCSM-TV,EducationalIndependent,"San Mateo, California"
KCTS-TV,PBS,"Seattle, Washington"
KCTV,CBS,"Kansas City, Missouri"
KCVU,Fox,"Paradise, California"
KCWC-DT,PBS,"Lander, Wyoming"
KCWE,29.1The CW,"Kansas City, Missouri"
,31.2This TV,
KCWI-TV,The CW,"Des Moines, Iowa"
KCWV,AMGTV,"Duluth, Minnesota"
KCWX,2.1MyNetworkTV,"Fredericksburg, Texas"
,5.2This TV,
KCWY-DT,NBC,"Casper, Wyoming"
KDAF,33.1The CW,"Dallas, Texas"
,33.2Antenna TV,
,32.3This TV,
KDBC-TV,4.1CBS,"El Paso, Texas"
,4.2MyNetworkTV/This TV,
KDCK,PBS,"Dodge City, Kansas"
KDCU-DT,Univision,"Derby, Kansas"
KDEN-TV,Telemundo,"Longmont, Colorado"
KDFI,MyNetworkTV,"Dallas, Texas"
KDFW,Fox,"Dallas, Texas"
KDIN-TV,PBS,"Des Moines, Iowa"
KDKA-TV,CBS,"Pittsburgh, Pennsylvania"
KDKF,ABC,"Klamath Falls, Oregon"
KDLH,3.1CBS,"Duluth, Minnesota"
,33.2The CW,
KDLO-TV,3.1CBS,"Florence, South Dakota"
,3.2MyNetworkTV,
KDLT-TV,46.1NBC,"Sioux Falls, South Dakota"
KDLV-TV,5.1NBC,"Mitchell, South Dakota"
KDMD,33.1ION Television,"Anchorage, Alaska"
,32.2Telemundo,
KDMI,This TV/MyNetworkTV,"Des Moines, Iowa"
KDNL-TV,30.1ABC,"St. Louis, Missouri"
KDOC-TV,56.1Independent,"Anaheim/Los Angeles, California"
,32.3MeTV,
KDOR-TV,TBN,"Bartlesville, Oklahoma"
KDRV,ABC,"Medford, Oregon"
KDSD-TV,PBS,"Aberdeen, South Dakota"
KDSE,PBS,"Dickinson, North Dakota"
KDSM-TV,17.1Fox,"Des Moines, Iowa"
,17.3TCN,
KDTN,Daystar,"Denton, Texas"
KDTP,Daystar Television Network,"Holbrook, Arizona"
KDTV-DT,Univision,"San Francisco, California"
KDTX-TV,TBN,"Dallas, Texas"
KDUH-TV,ABC,"Scottsbluff, Nebraska"
KDVR,Fox,"Denver, Colorado"
KECI-TV,13.1NBC (then a CBS affiliate),"Missoula, Montana"
,13.2MeTV,
KECY-TV,9.1Fox,"El Centro, California"
,9.2ABC,
,9.3The CW,
,35.4KESE-LP,
KEDT,PBS,"Corpus Christi, Texas"
KEET,PBS,"Eureka, California"
KELO-TV,11.1CBS,"Sioux Falls, South Dakota"
,11.2MyNetworkTV,
KEMO-TV,Azteca America,"Santa Rosa, California"
KEMV,PBS,"Mountain View, Arkansas"
KENS,CBS,"San Antonio, Texas"
KENV-DT,NBC,"Elko, Nevada"
KENW,PBS,"Portales, New Mexico"
KEPB-TV,PBS,"Eugene, Oregon"
KEPR-TV,19.1CBS,"Pasco, Washington"
,18.2The CW,
KERA-TV,PBS,"Dallas, Texas"
KERO-TV,23.1ABC,"Bakersfield, California"
,42.2KZKC-LP,
KESD-TV,PBS,"Brookings, South Dakota"
KESQ-TV,42.1ABC,"Palm Springs, California"
,38.2KPSP-CD,
,42.4KDFX-CD,
,33.2KDFX-CD,
,2.3KCWQ-LP,
,42.7KUNA-LP,
,15.1KUNA-LP,
KETA-TV,PBS,"Oklahoma City, Oklahoma"
KETC,PBS,"St. Louis, Missouri"
KETD,Estrella TV,"Castle Rock, Colorado"
KETG,PBS,"Arkadelphia, Arkansas"
KETH-TV,TBN,"Houston, Texas"
KETK-TV,NBC,"Jacksonville, Texas"
KETS,PBS,"Little Rock, Arkansas"
KETV,7.1ABC,"Omaha, Nebraska"
,20.2MeTV,
KETZ,PBS,"El Dorado, Arkansas"
KEYC-TV,12.1CBS(then an NBC affiliate),"Mankato, Minnesota"
,12.2Fox,
KEYE-TV,42.1CBS,"Austin, Texas"
,43.2Telemundo,
KEYT-TV,3.1ABC,"Santa Barbara, California"
,27.2MyNetworkTV/RTN,
KEYU,Univision,"Borger, Texas"
KEZI,9.1ABC,"Eugene, Oregon"
,9.2MeTV,
KFBB-TV,5.1ABC,"Great Falls, Montana"
,5.2Fox/MyNetworkTV,
KFCT,Fox,"Fort Collins, Colorado"
KFDA-TV,10.1CBS,"Amarillo, Texas"
,10.4LATV,
KFDM,6.1CBS,"Beaumont, Texas"
,25.2The CW,
KFDX-TV,3.1NBC,"Wichita Falls, Texas"
,35.2KJBO-LP,
KFFV,Infomercials,"Seattle, Washington"
KFFX-TV,Fox,"Pendleton, Oregon"
KFJX,Fox,"Pittsburg, Kansas"
KFMB-TV,8.1CBS,"San Diego, California"
,8.2MeTV,
KFME,PBS,"Fargo, North Dakota"
KFNB,Fox,"Casper, Wyoming"
KFNE,Fox,"Riverton, Wyoming"
KFNR,Fox,"Rawlins, Wyoming"
KFOR-TV,NBC,"Oklahoma City, Oklahoma"
KFOX-TV,Fox,"El Paso, Texas"
KFPH-DT,UniMas,"Flagstaff, Arizona"
KFPX-TV,ION Television,"Newton, Iowa"
KFQX,Fox,"Grand Junction, Colorado"
KFRE-TV,The CW,"Sanger, California"
KFSF-DT,UniMas,"Vallejo, California"
KFSM-TV,5.1CBS(then an NBC affiliate),"Fort Smith, Arkansas"
,5.2MyNetworkTV,
KFSN-TV,ABC,"Fresno, California"
KFTA-TV,Fox,"Fort Smith, Arkansas"
KFTC,MyNetworkTV,"Bemidji, Minnesota"
KFTH-DT,UniMas,"Alvin, Texas"
KFTR-DT,UniMas,"Ontario, California"
KFTS,PBS,"Klamath Falls, Oregon"
KFTU-DT,UniMas,"Douglas, Arizona"
KFTV-DT,Univision,"Hanford, California"
KFVE,MyNetworkTV,"Honolulu, Hawaii"
KFVS-TV,12.1CBS,"Cape Girardeau, Missouri"
,9.2WQWQ-LP,
KFWD,MundoFox,"Fort Worth, Texas"
KFXA,Fox,"Cedar Rapids, Iowa"
KFXB-TV,CTN,"Dubuque, Iowa"
